Freq.,V(vout)/V(vin)
1.00000000000000e+02,-1.81987737870062e+00,-1.28919479031489e+00
1.00230523807790e+02,-1.82061060525997e+00,-1.29081417343577e+00
1.00461579027840e+02,-1.82134519752246e+00,-1.29243953971113e+00
1.00693166885180e+02,-1.82208116949890e+00,-1.29407089632243e+00
1.00925288607668e+02,-1.82281853522834e+00,-1.29570825044566e+00
1.01157945425990e+02,-1.82355730877837e+00,-1.29735160925139e+00
1.01391138573668e+02,-1.82429750424521e+00,-1.29900097990464e+00
1.01624869287070e+02,-1.82503913575389e+00,-1.30065636956490e+00
1.01859138805412e+02,-1.82578221745857e+00,-1.30231778538609e+00
1.02093948370768e+02,-1.82652676354252e+00,-1.30398523451650e+00
1.02329299228075e+02,-1.82727278821844e+00,-1.30565872409873e+00
1.02565192625141e+02,-1.82802030572853e+00,-1.30733826126966e+00
1.02801629812647e+02,-1.82876933034484e+00,-1.30902385316043e+00
1.03038612044162e+02,-1.82951987636925e+00,-1.31071550689633e+00
1.03276140576140e+02,-1.83027195813381e+00,-1.31241322959684e+00
1.03514216667934e+02,-1.83102559000077e+00,-1.31411702837547e+00
1.03752841581801e+02,-1.83178078636296e+00,-1.31582691033981e+00
1.03992016582906e+02,-1.83253756164378e+00,-1.31754288259138e+00
1.04231742939330e+02,-1.83329593029754e+00,-1.31926495222570e+00
1.04472021922080e+02,-1.83405590680947e+00,-1.32099312633208e+00
1.04712854805090e+02,-1.83481750569608e+00,-1.32272741199370e+00
1.04954242865232e+02,-1.83558074150528e+00,-1.32446781628746e+00
1.05196187382322e+02,-1.83634562881647e+00,-1.32621434628395e+00
1.05438689639126e+02,-1.83711218224090e+00,-1.32796700904743e+00
1.05681750921366e+02,-1.83788041642171e+00,-1.32972581163568e+00
1.05925372517729e+02,-1.83865034603417e+00,-1.33149076110001e+00
1.06169555719872e+02,-1.83942198578588e+00,-1.33326186448514e+00
1.06414301822431e+02,-1.84019535041695e+00,-1.33503912882918e+00
1.06659612123026e+02,-1.84097045470016e+00,-1.33682256116353e+00
1.06905487922266e+02,-1.84174731344117e+00,-1.33861216851282e+00
1.07151930523760e+02,-1.84252594147873e+00,-1.34040795789484e+00
1.07398941234124e+02,-1.84330635368480e+00,-1.34220993632044e+00
1.07646521362983e+02,-1.84408856496482e+00,-1.34401811079351e+00
1.07894672222983e+02,-1.84487259025783e+00,-1.34583248831085e+00
1.08143395129794e+02,-1.84565844453671e+00,-1.34765307586212e+00
1.08392691402120e+02,-1.84644614280832e+00,-1.34947988042976e+00
1.08642562361706e+02,-1.84723570011379e+00,-1.35131290898888e+00
1.08893009333343e+02,-1.84802713152853e+00,-1.35315216850723e+00
1.09144033644875e+02,-1.84882045216262e+00,-1.35499766594508e+00
1.09395636627209e+02,-1.84961567716086e+00,-1.35684940825511e+00
1.09647819614318e+02,-1.85041282170304e+00,-1.35870740238242e+00
1.09900583943252e+02,-1.85121190100405e+00,-1.36057165526431e+00
1.10153930954141e+02,-1.85201293031424e+00,-1.36244217383032e+00
1.10407861990207e+02,-1.85281592491933e+00,-1.36431896500200e+00
1.10662378397766e+02,-1.85362090014093e+00,-1.36620203569298e+00
1.10917481526240e+02,-1.85442787133645e+00,-1.36809139280873e+00
1.11173172728159e+02,-1.85523685389947e+00,-1.36998704324654e+00
1.11429453359173e+02,-1.85604786325987e+00,-1.37188899389542e+00
1.11686324778056e+02,-1.85686091488404e+00,-1.37379725163596e+00
1.11943788346715e+02,-1.85767602427502e+00,-1.37571182334030e+00
1.12201845430196e+02,-1.85849320697282e+00,-1.37763271587195e+00
1.12460497396692e+02,-1.85931247855444e+00,-1.37955993608573e+00
1.12719745617551e+02,-1.86013385463419e+00,-1.38149349082766e+00
1.12979591467279e+02,-1.86095735086388e+00,-1.38343338693486e+00
1.13240036323555e+02,-1.86178298293296e+00,-1.38537963123542e+00
1.13501081567231e+02,-1.86261076656874e+00,-1.38733223054833e+00
1.13762728582343e+02,-1.86344071753659e+00,-1.38929119168330e+00
1.14024978756116e+02,-1.86427285164014e+00,-1.39125652144072e+00
1.14287833478977e+02,-1.86510718472144e+00,-1.39322822661150e+00
1.14551294144553e+02,-1.86594373266124e+00,-1.39520631397700e+00
1.14815362149688e+02,-1.86678251137908e+00,-1.39719079030884e+00
1.15080038894443e+02,-1.86762353683355e+00,-1.39918166236885e+00
1.15345325782109e+02,-1.86846682502247e+00,-1.40117893690892e+00
1.15611224219209e+02,-1.86931239198310e+00,-1.40318262067086e+00
1.15877735615512e+02,-1.87016025379235e+00,-1.40519272038634e+00
1.16144861384034e+02,-1.87101042656689e+00,-1.40720924277667e+00
1.16412602941049e+02,-1.87186292646347e+00,-1.40923219455275e+00
1.16680961706096e+02,-1.87271776967902e+00,-1.41126158241492e+00
1.16949939101987e+02,-1.87357497245093e+00,-1.41329741305281e+00
1.17219536554813e+02,-1.87443455105719e+00,-1.41533969314523e+00
1.17489755493952e+02,-1.87529652181657e+00,-1.41738842936002e+00
1.17760597352080e+02,-1.87616090108891e+00,-1.41944362835395e+00
1.18032063565172e+02,-1.87702770527520e+00,-1.42150529677252e+00
1.18304155572516e+02,-1.87789695081786e+00,-1.42357344124988e+00
1.18576874816716e+02,-1.87876865420095e+00,-1.42564806840867e+00
1.18850222743701e+02,-1.87964283195031e+00,-1.42772918485987e+00
1.19124200802737e+02,-1.88051950063374e+00,-1.42981679720265e+00
1.19398810446427e+02,-1.88139867686135e+00,-1.43191091202426e+00
1.19674053130724e+02,-1.88228037728555e+00,-1.43401153589984e+00
1.19949930314937e+02,-1.88316461860141e+00,-1.43611867539230e+00
1.20226443461741e+02,-1.88405141754676e+00,-1.43823233705216e+00
1.20503594037179e+02,-1.88494079090249e+00,-1.44035252741741e+00
1.20781383510677e+02,-1.88583275549262e+00,-1.44247925301332e+00
1.21059813355048e+02,-1.88672732818462e+00,-1.44461252035231e+00
1.21338885046497e+02,-1.88762452588955e+00,-1.44675233593383e+00
1.21618600064636e+02,-1.88852436556226e+00,-1.44889870624412e+00
1.21898959892486e+02,-1.88942686420160e+00,-1.45105163775613e+00
1.22179966016487e+02,-1.89033203885060e+00,-1.45321113692927e+00
1.22461619926504e+02,-1.89123990659675e+00,-1.45537721020936e+00
1.22743923115840e+02,-1.89215048457205e+00,-1.45754986402832e+00
1.23026877081238e+02,-1.89306378995338e+00,-1.45972910480416e+00
1.23310483322890e+02,-1.89397983996254e+00,-1.46191493894068e+00
1.23594743344450e+02,-1.89489865186661e+00,-1.46410737282739e+00
1.23879658653036e+02,-1.89582024297799e+00,-1.46630641283926e+00
1.24165230759240e+02,-1.89674463065475e+00,-1.46851206533661e+00
1.24451461177138e+02,-1.89767183230069e+00,-1.47072433666490e+00
1.24738351424294e+02,-1.89860186536566e+00,-1.47294323315455e+00
1.25025903021771e+02,-1.89953474734570e+00,-1.47516876112078e+00
1.25314117494141e+02,-1.90047049578320e+00,-1.47740092686341e+00
1.25602996369487e+02,-1.90140912826718e+00,-1.47963973666667e+00
1.25892541179416e+02,-1.90235066243349e+00,-1.48188519679906e+00
1.26182753459066e+02,-1.90329511596492e+00,-1.48413731351310e+00
1.26473634747114e+02,-1.90424250659148e+00,-1.48639609304518e+00
1.26765186585784e+02,-1.90519285209059e+00,-1.48866154161535e+00
1.27057410520853e+02,-1.90614617028723e+00,-1.49093366542716e+00
1.27350308101665e+02,-1.90710247905422e+00,-1.49321247066741e+00
1.27643880881134e+02,-1.90806179631233e+00,-1.49549796350602e+00
1.27938130415752e+02,-1.90902414003054e+00,-1.49779015009575e+00
1.28233058265601e+02,-1.90998952822625e+00,-1.50008903657208e+00
1.28528665994361e+02,-1.91095797896541e+00,-1.50239462905297e+00
1.28824955169313e+02,-1.91192951036279e+00,-1.50470693363865e+00
1.29121927361353e+02,-1.91290414058214e+00,-1.50702595641142e+00
1.29419584144998e+02,-1.91388188783637e+00,-1.50935170343546e+00
1.29717927098395e+02,-1.91486277038782e+00,-1.51168418075658e+00
1.30016957803328e+02,-1.91584680654842e+00,-1.51402339440208e+00
1.30316677845229e+02,-1.91683401467984e+00,-1.51636935038044e+00
1.30617088813183e+02,-1.91782441319377e+00,-1.51872205468118e+00
1.30918192299940e+02,-1.91881802055204e+00,-1.52108151327460e+00
1.31219989901920e+02,-1.91981485526691e+00,-1.52344773211160e+00
1.31522483219223e+02,-1.92081493590116e+00,-1.52582071712341e+00
1.31825673855640e+02,-1.92181828106838e+00,-1.52820047422142e+00
1.32129563418657e+02,-1.92282490943311e+00,-1.53058700929692e+00
1.32434153519466e+02,-1.92383483971111e+00,-1.53298032822086e+00
1.32739445772973e+02,-1.92484809066941e+00,-1.53538043684367e+00
1.33045441797808e+02,-1.92586468112666e+00,-1.53778734099497e+00
1.33352143216332e+02,-1.92688462995324e+00,-1.54020104648339e+00
1.33659551654643e+02,-1.92790795607152e+00,-1.54262155909631e+00
1.33967668742593e+02,-1.92893467845600e+00,-1.54504888459961e+00
1.34276496113786e+02,-1.92996481613348e+00,-1.54748302873745e+00
1.34586035405594e+02,-1.93099838818336e+00,-1.54992399723204e+00
1.34896288259165e+02,-1.93203541373775e+00,-1.55237179578337e+00
1.35207256319427e+02,-1.93307591198170e+00,-1.55482643006897e+00
1.35518941235103e+02,-1.93411990215331e+00,-1.55728790574367e+00
1.35831344658715e+02,-1.93516740354410e+00,-1.55975622843935e+00
1.36144468246594e+02,-1.93621843549905e+00,-1.56223140376472e+00
1.36458313658892e+02,-1.93727301741683e+00,-1.56471343730497e+00
1.36772882559584e+02,-1.93833116875004e+00,-1.56720233462166e+00
1.37088176616484e+02,-1.93939290900535e+00,-1.56969810125231e+00
1.37404197501251e+02,-1.94045825774369e+00,-1.57220074271025e+00
1.37720946889394e+02,-1.94152723458051e+00,-1.57471026448434e+00
1.38038426460288e+02,-1.94259985918589e+00,-1.57722667203863e+00
1.38356637897177e+02,-1.94367615128476e+00,-1.57974997081220e+00
1.38675582887188e+02,-1.94475613065713e+00,-1.58228016621884e+00
1.38995263121334e+02,-1.94583981713823e+00,-1.58481726364678e+00
1.39315680294529e+02,-1.94692723061868e+00,-1.58736126845838e+00
1.39636836105593e+02,-1.94801839104478e+00,-1.58991218599000e+00
1.39958732257261e+02,-1.94911331841857e+00,-1.59247002155151e+00
1.40281370456195e+02,-1.95021203279816e+00,-1.59503478042621e+00
1.40604752412990e+02,-1.95131455429777e+00,-1.59760646787042e+00
1.40928879842186e+02,-1.95242090308801e+00,-1.60018508911325e+00
1.41253754462274e+02,-1.95353109939606e+00,-1.60277064935631e+00
1.41579377995707e+02,-1.95464516350583e+00,-1.60536315377341e+00
1.41905752168908e+02,-1.95576311575816e+00,-1.60796260751030e+00
1.42232878712281e+02,-1.95688497655100e+00,-1.61056901568436e+00
1.42560759360218e+02,-1.95801076633961e+00,-1.61318238338428e+00
1.42889395851109e+02,-1.95914050563671e+00,-1.61580271566982e+00
1.43218789927353e+02,-1.96027421501273e+00,-1.61843001757147e+00
1.43548943335364e+02,-1.96141191509592e+00,-1.62106429409017e+00
1.43879857825583e+02,-1.96255362657254e+00,-1.62370555019699e+00
1.44211535152486e+02,-1.96369937018712e+00,-1.62635379083285e+00
1.44543977074592e+02,-1.96484916674254e+00,-1.62900902090820e+00
1.44877185354475e+02,-1.96600303710029e+00,-1.63167124530270e+00
1.45211161758773e+02,-1.96716100218060e+00,-1.63434046886495e+00
1.45545908058195e+02,-1.96832308296264e+00,-1.63701669641211e+00
1.45881426027534e+02,-1.96948930048471e+00,-1.63969993272966e+00
1.46217717445671e+02,-1.97065967584438e+00,-1.64239018257100e+00
1.46554784095590e+02,-1.97183423019871e+00,-1.64508745065724e+00
1.46892627764385e+02,-1.97301298476441e+00,-1.64779174167675e+00
1.47231250243271e+02,-1.97419596081798e+00,-1.65050306028493e+00
1.47570653327588e+02,-1.97538317969602e+00,-1.65322141110387e+00
1.47910838816819e+02,-1.97657466279519e+00,-1.65594679872197e+00
1.48251808514594e+02,-1.97777043157254e+00,-1.65867922769364e+00
1.48593564228699e+02,-1.97897050754569e+00,-1.66141870253902e+00
1.48936107771090e+02,-1.98017491229288e+00,-1.66416522774353e+00
1.49279440957898e+02,-1.98138366745328e+00,-1.66691880775763e+00
1.49623565609442e+02,-1.98259679472709e+00,-1.66967944699646e+00
1.49968483550236e+02,-1.98381431587567e+00,-1.67244714983944e+00
1.50314196609001e+02,-1.98503625272181e+00,-1.67522192063000e+00
1.50660706618673e+02,-1.98626262714983e+00,-1.67800376367520e+00
1.51008015416413e+02,-1.98749346110574e+00,-1.68079268324534e+00
1.51356124843619e+02,-1.98872877659748e+00,-1.68358868357372e+00
1.51705036745932e+02,-1.98996859569500e+00,-1.68639176885616e+00
1.52054752973248e+02,-1.99121294053047e+00,-1.68920194325070e+00
1.52405275379728e+02,-1.99246183329844e+00,-1.69201921087727e+00
1.52756605823806e+02,-1.99371529625599e+00,-1.69484357581727e+00
1.53108746168202e+02,-1.99497335172292e+00,-1.69767504211325e+00
1.53461698279928e+02,-1.99623602208189e+00,-1.70051361376853e+00
1.53815464030302e+02,-1.99750332977855e+00,-1.70335929474680e+00
1.54170045294954e+02,-1.99877529732176e+00,-1.70621208897182e+00
1.54525443953840e+02,-2.00005194728372e+00,-1.70907200032698e+00
1.54881661891247e+02,-2.00133330230013e+00,-1.71193903265495e+00
1.55238700995807e+02,-2.00261938507034e+00,-1.71481318975731e+00
1.55596563160506e+02,-2.00391021835750e+00,-1.71769447539417e+00
1.55955250282694e+02,-2.00520582498871e+00,-1.72058289328376e+00
1.56314764264094e+02,-2.00650622785524e+00,-1.72347844710206e+00
1.56675107010813e+02,-2.00781144991257e+00,-1.72638114048244e+00
1.57036280433354e+02,-2.00912151418065e+00,-1.72929097701524e+00
1.57398286446620e+02,-2.01043644374396e+00,-1.73220796024735e+00
1.57761126969933e+02,-2.01175626175174e+00,-1.73513209368191e+00
1.58124803927037e+02,-2.01308099141802e+00,-1.73806338077778e+00
